customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.42,1852.43,No
CUST0002,Female,0,Yes,No,41,Yes,No,DSL,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,64.93,2517.73,No
CUST0003,Male,0,Yes,No,3,No,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),40.46,547.64,No
CUST0004,Male,1,Yes,No,7,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,68.69,3165.58,No
CUST0005,Male,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.48,1052.46,Yes
CUST0006,Female,0,Yes,Yes,13,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No internet service,Two year,No,Electronic check,46.5,2659.64,No
CUST0007,Male,1,No,No,14,No,No,Fiber optic,No,No,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),78.0,4553.05,No
CUST0008,Male,1,No,No,47,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),20.0,678.58,No
CUST0009,Male,1,No,No,11,Yes,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,21.68,300.03,No
CUST0010,Female,0,No,No,20,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,65.58,3077.02,No
CUST0011,Male,0,No,Yes,29,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.33,4598.87,No
CUST0012,Male,0,No,No,7,Yes,No,No,No,No internet service,No,No,No,No,Two year,No,Electronic check,75.31,3404.16,No
CUST0013,Male,1,No,No,38,No,Yes,No,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,120.0,424.8,Yes
CUST0014,Male,1,Yes,No,23,Yes,No,No,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),68.14,151.8,No
CUST0015,Female,0,Yes,No,17,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),82.95,1969.59,Yes
CUST0016,Male,0,Yes,No,49,No,No,No,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),35.73,532.46,No
CUST0017,Female,0,No,Yes,8,Yes,No,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.04,5170.18,Yes
CUST0018,Female,1,No,No,64,Yes,No phone service,No,No,Yes,No internet service,No,No,Yes,Two year,No,Electronic check,49.21,3000.78,No
CUST0019,Female,1,Yes,No,24,Yes,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.14,1300.01,Yes
